,,,,,Waitlist # at end of day,
Person ID,Course Sec,Registration Date,Status,Waitlist Reason,Day -89,Day -88
1471461,FDMAT108-15,7/6/2016 10:08:00 PM,Wait List,,,
1450078,FDMAT108-15,7/7/2016 8:18:00 AM,Wait List,,,
1423451,FDMAT108-15,7/7/2016 9:44:00 AM,Wait List,,,
1512023,FDMAT108-15,7/7/2016 1:21:00 PM,Dropped,,,
1265200,FDMAT108-15,7/7/2016 3:08:00 PM,Wait List,,,
1390499,FDMAT108-15,7/7/2016 3:20:00 PM,Wait List,,,
1487979,FDMAT108-15,7/7/2016 4:32:00 PM,Wait List,,,
1484740,FDMAT108-15,7/8/2016 10:37:00 AM,Wait List,,,
1501576,FDMAT108-15,7/8/2016 1:50:00 PM,Dropped,Waitlist System Dropped,,
1497486,FDMAT108-15,7/8/2016 8:43:00 PM,Dropped,,,
1497486,FDMAT108-15,7/8/2016 8:43:00 PM,Registered,Waitlist Registered,,
1504109,FDMAT108-15,7/9/2016 3:26:00 PM,Wait List,,,
1386388,FDMAT108-15,7/10/2016 9:25:00 AM,Wait List,,,
1486879,FDMAT108-15,7/10/2016 5:57:00 PM,Wait List,,,
1486879,FDMAT108-15,7/10/2016 6:14:00 PM,Dropped,Waitlist Student Dropped,,
1505718,FDMAT108-15,7/11/2016 7:59:00 PM,Wait List,,,
1486795,FDMAT108-15,7/12/2016 1:08:00 AM,Wait List,,,
1439424,FDMAT108-15,7/12/2016 5:19:00 PM,Wait List,,,
1458696,FDMAT108-15,7/12/2016 10:46:00 PM,Wait List,,,
1386388,FDMAT108-15,7/13/2016 7:57:00 AM,Dropped,Waitlist Student Dropped,,
1465430,FDMAT108-15,7/14/2016 2:20:00 PM,Wait List,,,
1396713,FDMAT108-15,7/14/2016 5:02:00 PM,Wait List,,,
1396713,FDMAT108-15,7/14/2016 5:15:00 PM,Dropped,Waitlist Student Dropped,,
1457399,FDMAT108-15,7/15/2016 3:11:00 PM,Dropped,Waitlist Student Dropped,,
1457399,FDMAT108-15,7/15/2016 3:11:00 PM,Wait List,,,
1320323,FDMAT108-15,7/16/2016 10:40:00 PM,Wait List,,,
1489521,FDMAT108-15,7/17/2016 1:45:00 PM,Wait List,,,
1394570,FDMAT108-15,7/17/2016 5:25:00 PM,Wait List,,,
1394570,FDMAT108-15,7/17/2016 5:26:00 PM,Dropped,Waitlist Student Dropped,,
1328510,FDMAT108-15,7/17/2016 5:40:00 PM,Dropped,,,
1128504,FDMAT108-15,7/17/2016 9:31:00 PM,Wait List,,,
1479589,FDMAT108-15,7/17/2016 9:31:00 PM,Wait List,,,
1471461,FDMAT108-15,7/18/2016 7:12:00 AM,Dropped,,,
1471461,FDMAT108-15,7/18/2016 7:12:00 AM,Registered,Waitlist Registered,,
1506090,FDMAT108-15,7/18/2016 11:33:00 AM,Wait List,,,
1497486,FDMAT108-15,7/18/2016 12:00:00 PM,Dropped,,,
1506137,FDMAT108-15,7/18/2016 5:55:00 PM,Wait List,,,
1506137,FDMAT108-15,7/18/2016 11:59:00 PM,Dropped,Waitlist Student Dropped,,
1257985,FDMAT108-15,7/19/2016 1:20:00 AM,Wait List,,,
1485487,FDMAT108-15,7/19/2016 10:46:00 AM,Wait List,,,
1450078,FDMAT108-15,7/19/2016 12:20:00 PM,Dropped,Waitlist System Dropped,,
852990,FDMAT108-15,7/19/2016 2:36:00 PM,Wait List,,,
1450395,FDMAT108-15,7/20/2016 6:26:00 AM,Dropped,,,
1265200,FDMAT108-15,7/20/2016 7:07:00 AM,Dropped,,,
1265200,FDMAT108-15,7/20/2016 7:07:00 AM,Registered,Waitlist Registered,,
1423451,FDMAT108-15,7/20/2016 12:35:00 PM,Dropped,Waitlist System Dropped,,
