name,type,time,amount
SplashandDash,Services,2016-06-29T17:16:00Z,20
SplashandDash,Services,2016-06-29T17:54:00Z,27
SplashandDash,Services,2016-06-29T17:58:00Z,20
SplashandDash,Services,2016-06-29T18:49:00Z,15
SplashandDash,Services,2016-06-29T20:12:00Z,15
SplashandDash,Services,2016-06-29T20:42:00Z,50
SplashandDash,Services,2016-06-29T22:41:00Z,10
SplashandDash,Services,2016-06-29T15:45:00Z,-10.75
SplashandDash,Services,2016-06-03T19:05:00Z,-16.02
SplashandDash,Services,2016-06-03T18:03:00Z,30
SplashandDash,Services,2016-06-03T18:35:00Z,30
SplashandDash,Services,2016-06-03T20:05:00Z,30
SplashandDash,Services,2016-06-03T20:28:00Z,30
SplashandDash,Services,2016-06-03T20:28:00Z,15
SplashandDash,Services,2016-06-03T20:52:00Z,43
SplashandDash,Services,2016-06-03T20:54:00Z,18
SplashandDash,Services,2016-06-03T21:51:00Z,20
SplashandDash,Services,2016-06-30T19:07:00Z,20
SplashandDash,Services,2016-06-30T19:17:00Z,24
SplashandDash,Services,2016-06-30T19:21:00Z,27
SplashandDash,Services,2016-06-30T19:33:00Z,12
SplashandDash,Services,2016-06-30T19:42:00Z,90
SplashandDash,Services,2016-06-30T19:51:00Z,30
SplashandDash,Services,2016-06-30T17:21:00Z,45
SplashandDash,Services,2016-06-30T17:32:00Z,18
SplashandDash,Services,2016-06-30T18:16:00Z,18
SplashandDash,Services,2016-06-30T18:29:00Z,35
SplashandDash,Services,2016-06-30T18:57:00Z,50
SplashandDash,Services,2016-06-30T20:01:00Z,15
SplashandDash,Services,2016-06-30T20:07:00Z,50
SplashandDash,Services,2016-06-30T20:25:00Z,24
SplashandDash,Services,2016-06-30T21:33:00Z,30
SplashandDash,Services,2016-06-30T22:18:00Z,25
SplashandDash,Services,2016-06-30T22:26:00Z,15
SplashandDash,Services,2016-06-04T19:39:00Z,20
SplashandDash,Services,2016-06-04T19:56:00Z,10
